support,itemsets,length
0.038461538461538464,frozenset({'1008:\nWATER'}),1
0.038461538461538464,frozenset({'1105:\nDeodorisa'}),1
0.02564102564102564,frozenset({'1203:\nDEODORANT'}),1
0.038461538461538464,frozenset({'1213: HAIR\nSHAM'}),1
0.02564102564102564,frozenset({'1411: CAKES'}),1
0.038461538461538464,frozenset({'1423:\nCHOCOLATE'}),1
0.02564102564102564,frozenset({'1430: TEA'}),1
0.02564102564102564,frozenset({'1436:\nSPREAD'}),1
0.20512820512820512,frozenset({'1440: BABY\nMILK'}),1
0.02564102564102564,frozenset({'1453:\nINSTANT D'}),1
0.038461538461538464,frozenset({'1462: SALT &\nSP'}),1
0.02564102564102564,frozenset({'1472: SEED\nAND'}),1
0.02564102564102564,frozenset({'1484:\nPET\nFOOD'}),1
0.02564102564102564,frozenset({'2000: Roasted\n&'}),1
0.02564102564102564,frozenset({'2001: Main\nDish'}),1
0.02564102564102564,frozenset({'2310: SWEET\nBUN'}),1
0.038461538461538464,frozenset({'324:\nJEWELRY: J'}),1
0.02564102564102564,frozenset({'4000: Fridge 1'}),1
0.02564102564102564,frozenset({'4100: Iron'}),1
0.05128205128205128,frozenset({'4140: Hair\nCare'}),1
0.02564102564102564,frozenset({'4403: LED'}),1
0.05128205128205128,frozenset({'4500:\nCOMPUTER'}),1
0.02564102564102564,frozenset({'469: MENS\nCASUA'}),1
0.02564102564102564,frozenset({'520:\nMASSTIGE C'}),1
0.02564102564102564,frozenset({'BA04:\nBATTERY C'}),1
0.02564102564102564,frozenset({'CA88:\nHEALTH AN'}),1
0.02564102564102564,"frozenset({'1436:\nSPREAD', '1008:\nWATER'})",2
0.02564102564102564,"frozenset({'1462: SALT &\nSP', '1008:\nWATER'})",2
0.02564102564102564,"frozenset({'1472: SEED\nAND', '1008:\nWATER'})",2
0.02564102564102564,"frozenset({'1484:\nPET\nFOOD', '1008:\nWATER'})",2
0.02564102564102564,"frozenset({'1203:\nDEODORANT', '1105:\nDeodorisa'})",2
0.038461538461538464,"frozenset({'1213: HAIR\nSHAM', '1105:\nDeodorisa'})",2
0.02564102564102564,"frozenset({'1213: HAIR\nSHAM', '1203:\nDEODORANT'})",2
0.02564102564102564,"frozenset({'1436:\nSPREAD', '1462: SALT &\nSP'})",2
0.02564102564102564,"frozenset({'1472: SEED\nAND', '1436:\nSPREAD'})",2
0.02564102564102564,"frozenset({'1436:\nSPREAD', '1484:\nPET\nFOOD'})",2
0.02564102564102564,"frozenset({'1472: SEED\nAND', '1462: SALT &\nSP'})",2
0.02564102564102564,"frozenset({'1462: SALT &\nSP', '1484:\nPET\nFOOD'})",2
0.02564102564102564,"frozenset({'1472: SEED\nAND', '1484:\nPET\nFOOD'})",2
0.02564102564102564,"frozenset({'1436:\nSPREAD', '1462: SALT &\nSP', '1008:\nWATER'})",3
0.02564102564102564,"frozenset({'1472: SEED\nAND', '1436:\nSPREAD', '1008:\nWATER'})",3
0.02564102564102564,"frozenset({'1436:\nSPREAD', '1484:\nPET\nFOOD', '1008:\nWATER'})",3
0.02564102564102564,"frozenset({'1472: SEED\nAND', '1462: SALT &\nSP', '1008:\nWATER'})",3
0.02564102564102564,"frozenset({'1462: SALT &\nSP', '1484:\nPET\nFOOD', '1008:\nWATER'})",3
0.02564102564102564,"frozenset({'1472: SEED\nAND', '1484:\nPET\nFOOD', '1008:\nWATER'})",3
0.02564102564102564,"frozenset({'1213: HAIR\nSHAM', '1203:\nDEODORANT', '1105:\nDeodorisa'})",3
0.02564102564102564,"frozenset({'1472: SEED\nAND', '1436:\nSPREAD', '1462: SALT &\nSP'})",3
0.02564102564102564,"frozenset({'1436:\nSPREAD', '1462: SALT &\nSP', '1484:\nPET\nFOOD'})",3
0.02564102564102564,"frozenset({'1472: SEED\nAND', '1436:\nSPREAD', '1484:\nPET\nFOOD'})",3
0.02564102564102564,"frozenset({'1472: SEED\nAND', '1462: SALT &\nSP', '1484:\nPET\nFOOD'})",3
0.02564102564102564,"frozenset({'1472: SEED\nAND', '1436:\nSPREAD', '1462: SALT &\nSP', '1008:\nWATER'})",4
0.02564102564102564,"frozenset({'1436:\nSPREAD', '1462: SALT &\nSP', '1484:\nPET\nFOOD', '1008:\nWATER'})",4
0.02564102564102564,"frozenset({'1472: SEED\nAND', '1436:\nSPREAD', '1484:\nPET\nFOOD', '1008:\nWATER'})",4
0.02564102564102564,"frozenset({'1472: SEED\nAND', '1462: SALT &\nSP', '1484:\nPET\nFOOD', '1008:\nWATER'})",4
0.02564102564102564,"frozenset({'1472: SEED\nAND', '1436:\nSPREAD', '1462: SALT &\nSP', '1484:\nPET\nFOOD'})",4
0.02564102564102564,"frozenset({'1462: SALT &\nSP', '1472: SEED\nAND', '1436:\nSPREAD', '1484:\nPET\nFOOD', '1008:\nWATER'})",5
